name,alpha-2,alpha-3,country-code,intermediate-region,region-code
British Indian Ocean Territory,IO,IOT,86,Eastern Africa,2.0
Cabo Verde,CV,CPV,132,Western Africa,2.0
Cameroon,CM,CMR,120,Middle Africa,2.0
Eritrea,ER,ERI,232,Eastern Africa,2.0
French Southern Territories,TF,ATF,260,Eastern Africa,2.0
Guernsey,GG,GGY,831,Channel Islands,150.0
Jersey,JE,JEY,832,Channel Islands,150.0
Liberia,LR,LBR,430,Western Africa,2.0
Montserrat,MS,MSR,500,Caribbean,19.0
Niger,NE,NER,562,Western Africa,2.0
Nigeria,NG,NGA,566,Western Africa,2.0
Peru,PE,PER,604,South America,19.0
Puerto Rico,PR,PRI,630,Caribbean,19.0
Sierra Leone,SL,SLE,694,Western Africa,2.0
